 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
75563;75563;Juego juntas tapa de válvulas;Motor Scania serie DC12/DC13 /Euro5 /Euro 6;SCANIA;11.643,96;;
75602;75602;Junta del carter;Renault motor F8Q 1,9 L 8V DIESEL;RENAULT;6.823,83;;
75610;75610;Junta del carter;Motor Ford Zetec 1.8 L 16V.Gasolina -Aplicação Motor RKC 115 CV 1992 à 1995 - Escort 16V./ RQB 130 CV 1992 à 1995 - Orion 16V. / RQC 130 CV 1992 à 1995 - Fiesta 16V./ RQB 130 CV 1992 à 1995 - Escort 16V./ ZETEC 105 CV 1995......  - Escort / Escort XR3i / Fiesta / Fiesta XR2i ( DOHC ) 16V. / RKA 115 CV 1993 à 1998 - Mondeo 16V.(DOHC) / ZETEC 105 CV 1992 à 1995 = Escort / Escort XR3i / Fiesta / Fiesta XR2i / Orion / Nomade 16V.;FORD;4.184,42;;
75611;75611;Junta de la tapa de válvulas;Motor Ford Zetec 1.8 L 16V.Gasolina -Aplicação Motor RKC 115 CV 1992 à 1995 - Escort 16V./ RQB 130 CV 1992 à 1995 - Orion 16V. / RQC 130 CV 1992 à 1995 - Fiesta 16V./ RQB 130 CV 1992 à 1995 - Escort 16V./ ZETEC 105 CV 1995......  - Escort / Escort XR3i / Fiesta / Fiesta XR2i ( DOHC ) 16V. / RKA 115 CV 1993 à 1998 - Mondeo 16V.(DOHC) / ZETEC 105 CV 1992 à 1995 = Escort / Escort XR3i / Fiesta / Fiesta XR2i / Orion / Nomade 16V.;FORD;4.627,01;;
75613;75613;Junta de la tapa de válvulas;Motor Fiat Fire 1.0L / 1.3L  8v - Uno / Palio / Weekend / Siena / Strada / Doblò y 1.4L 8v - Uno, Palio, Palio Weekend, Siena, Idea, Punto, Strada, Doblo;FIAT;3.428,01;;
75615;75615;Junta del carter;Motor Renault K4J 1.4L 16v / K4M 1.6L 16v - Megane / Megane Coupe / Megane Cabrio / Clio / Clio II / Scenic / Laguna / Kangoo / Logan (1999/..);RENAULT;12.327,95;;
75618;75618;Junta de la tapa de válvulas;Motor Toyota 2779cc Diesel - Hilux 3.0L 1995/...;TOYOTA;6.719,22;;
75619;75619;Junta del carter;Motor Toyota 2779cc Diesel - Hilux 3.0L 1995/...;TOYOTA;6.381,24;;
75621;75621;Junta de la tapa de válvulas;Motor Renault / Peugeot D4D 1.0L /1.2L 16V - Peugeot 206 (2001/2006) / Clio (2001/2005) / Kangoo (2001/2005) / Twingo (2001/2002) - Gasolina ;RENAULT;10.790,98;;
75625;75625;Junta de la tapa de válvulas;Motores Renault Master 2.8L - Iveco 2.5/2.8L - Ducato 2.5L/2.8L - Citroen Jumper - 2.5/2.8L - Peugeot Boxer 2.5/2.8L ;RENAULT;7.346,88;;
