 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
77110;77110;Juego de juntas completo de la caja de cambios;Caja de cambios ZF S5-420 - GM - CHEVROLET - BONANZA / D20 TURBO / VERANEIO / D6000 / SILVERADO / GMC 6100 / GMC 6150 / F250 DIESEL / F 350 DIESEL / F250 GASOLINA;ZF;50.068,23;;
77111;77111;Juego de juntas completo de la caja de cambios;"Caja de cambios ZF S5-420 - Caminhões e Ônibus VW-MAN, IVECO E MERCEDES BENZ - VW 8120-OD / 8150OD / 9150OD / 8100 / 8120 / 8140 / 8150 / 8160 / 9150 / MICRO 8140 / 8150; IVECO VERTIS 9 E 12 TON / MERCEDES ACELLO 815 / 1016";ZF;47.565,62;;
77112;77112;Juego juntas completo de caja de cambios con retenes ;Cambio GO-190/210  MB O-500;MB;94.495,52;;
77114;77114;Juego juntas completo de caja de cambios con retenes ;Caja de cambios GR/GRS 900  SCANIA 124;SCANIA;79.174,10;;
77115;77115;Juego juntas completo de caja de cambios con retenes ;Caja de cambios GR 905 Camiones serie P;SCANIA;75.078,20;;
77117;77117;Juntas de Cambio  3eje opiloto con retenes  ;EATON ;EATON;65.236,76;;
77119;77119;Juego de juntas completo de la caja de cambios;Caja de cambios Eaton RT11710B;EATON;65.945,21;;
77121;77121;Juego de juntas completo de la caja de cambios;Caja de cambios Eaton EATON FS6209A / FS 8209A;EATON;59.983,38;;
77124;77124;Juego de juntas completo de la caja de cambios;Caja de cambios ZF 9S1110;ZF;216.873,78;;
77128;77128;Juego de Juntas del cambio;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;240.459,44;;
77857;77857;Juego de juntas de turbo;Motor MB AXOR 447/1938;MB;5.230,53;;
77861;77861;Juego de juntas de turbo;Motor MWM X106CIL/X12 6CIL.;MWM;7.483,68;;
77873;77873;Juego de juntas de moduloActuador de caja de cambios ;Caja ZF12AS14202230TD/12AS1930TD/12AS2130TD/12AS2540TD/16AS2230TD/16AS2630TO/16AS2630TD/;ZF;4.401,69;;
78447;78447;Juego de juntas multiple de escape;Motor Scania DN / DS / DSC11 - HW 112 / 113;SCANIA;4.627,01;;
78475;78475;Juego de juntas de turbo;Motor Cummins 6C / 6CT / 6CTA 8.3L - 6 Cilindros;CUMMINS;5.479,98;;
46821F1;78505;Juego de juntas multiple de escape;Motor Ford / VW 1.5L / 1.6L / 1.8L / 2.0L - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum / Escort / Del Rey / Belina / Royale / Verona / Pampa / Versailles;FORD;5.230,53;;
78587;78587;Juego de anillos de camisa;Motor Volvo TD 100G / TD 101G / TD 101F - Série N10 - 1985 a 1989 - Motor Volvo TD 102F / TD 102FS - Série NL10 - 1989 a 1997;VOLVO;10.501,29;;
78588;78588;Juego de anillos de camisa;Motor Volvo TD 122/123FS - Série NL12 - 1989 a 1996  / NH / FH;VOLVO;10.187,46;;
78590;78590;Juegos de juntas del cambiador de calor de aceite de motor;Motor Scania 124 - 360 / 400 / 420 HP;SCANIA;9.841,44;;
78599;78599;Juego de juntas del radiador de aceite de metal con anillos de goma para alta temperatura (flúor);Motor Scania serie 5 P / G / R - DC12 / DSC12 / DT12 (2008/2011);SCANIA;46.133,25;;
79100;79100;Juego de juntas monocilíndrico  sin retenes;Motor Scania 124 360HP 1998 a 1999;SCANIA;29.395,56;;
79101FLEX;79101;Juego de juntas superior del motor sin retenes;Motor GM 2.0L 16 válvulas Gasolina - Astra 1999 a 2003 / Vectra (con excepción de GSI) 1997 a 1999;GM;29.725,49;;
79103FLEX;79103;Juego de juntas superior del motor sin retenes;Motor GM 2.0L 8 válvulas - Astra / Vectra / Zafira/S10 (con excepción de GSI) 1997/...;GM;27.528,67;;
79109;79109;Juego de juntas superior del motor sin retenes;Motores Scania 9 litros DN9, DS9, DSC9 - Camión P94 - Autobús F94 / K94 / L94;SCANIA;22.684,40;;
79111;79111;Juego juntas radiador aceite motor ;Motor EURO 5 /DC13-SERIE6 2012/... SERIE G/P/R/S;SCANIA;51.822,46;;
79112FLEX;79112;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros en Fibra ;Motor GM 1.6L / 1.8L 8 válvulas EFI / MPFI - Corsa / Meriva / Montana 1995/... - Motor Fiat 1.8L 8 válvulas MPFI - Stilo / Palio / Siena / Palio Weekend / Doblò / Strada / Idea 2003 a 2010;GM;30.916,44;;
79150;79150;Juego de juntas monocilíndrico  sin retenes;Motor Scania 124 360HP (2000/...) / 400HP / 420HP;SCANIA;36.983,86;;
79179FLEX;79179;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros enFibra;Motor VW POWER 1.0L 8v - Gol / Fox / Voyage 2001/... - Alcohol / Gasolina / Flex;VW;17.188,33;;
79184FLEX;79184;Juego de juntas superior del motor S/ retenes.Tapa de cilindros en Fibra;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;24.993,88;;
79198FLEX;79198;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros Fibra;Motor Fiat Fire 1.4L 8V. - Uno, Palio, Palio Weekend, Siena, Idea, Punto, Strada, Doblo - Álcool / Gasolina / Flex (Exceto Motor Evo);FIAT;21.630,24;;
79257FLEX;79257;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros Fibra;Motor Fiat Fire 1.0L / 1.3L  8V - Uno / Palio / Weekend / Siena / Strada - Álcool / Gasolina / Flex (Exceto Motor Evo);FIAT;19.779,44;;
79294;79294;Juego de juntas monocilíndrico  sin retenes;Motores MB OM 457 AXOR  ;MB;67.007,09;;
82308KIT;79308;Juego de juntas monocilíndrico  sin retenes;Motor Volvo VOLVO B-58 / B-10M / N-10 / NL-10 EDC - THD 101KC / TD 100G / 101G / 101F / TD 102F / 102FS;VOLVO;25.758,34;;
79311;79311;Juego de juntas monocilíndrico  sin retenes; Motor Scania  DC 13 EURO 5 SERIE 6  2012/... (FAMILIAS  P/G/R/K ) DIAMETRO CAMISA 136MM;SCANIA;60.448,80;;
79312;79312;Juego de juntas monocilíndrico  sin retenes;Motor Scania DC11 /DC12 -EURO 4;SCANIA;31.857,94;;
79323FLEX;79323;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros MLS;Motor Fiat Fire 1.4L 8v - Alcohol / Gasolina / Flex;FIAT;36.557,37;;
79324FLEXR;79324;Juego de juntas superior del motor C/ retene.s Junta de tapa de cilindros MLS;Motor Fiat Fire 1.4L 8v - Alcohol / Gasolina / Flex;FIAT;52.852,47;;
79325;79325;Juego de juntas superior del motor con retenes;Motor Maxion Perkins Gemini HSD 2.5L / 2.8L Turbo Diesel - GM Blazer / S10;FORD;46.358,57;;
79342FLEX;79342;Juego de juntas superior del motor S/retenes. Junta tapa de cilindros en Fibra;FORD DURATEC 2.0/2.3L 16V;FORD;57.366,82;;
79350;79350;Juego de juntas superior del motor con retenes;Motor MWM 4.07 Sprint 2.8L - 4 Cilindros - GM Blazer / S10 - Agrale Volare / 6000 / 6000RS - Troller Jipe 4x4 - Nissan Frontier / VW Micro ómnibus;MWM;60.336,15;;
79357;79357;Juego de juntas superior del motor S/ retenes.Tapa de cilindros en Fibra;Motor GM 1.4L - Prisma / Montana / Corsa / Celta / Meriva - Alcohol / Gasolina / Flex;GM;31.616,53;;
79358FLEX;79358;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros MLS;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;35.342,27;;
79359FLEXR;79359;Juego de juntas superior del motor C/ retenes.Tapa de cilindros en Fibra ;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;45.095,20;;
79367;79367;Juego de juntas superior del motor S/ retenes junta de tapa de cilindros en Fibra ;Motor Renault K4J 1.4L 16v / K4M 1.6L 16v - Megane / Megane Coupe / Megane Cabrio / Clio / Clio II / Scenic / Laguna / Kangoo / Logan (1999/..);RENAULT;31.544,11;;
79371;79371;Juego de juntas superior del motor sin retenes;Motores Mitsubishi 2.5L - 4D56/4D56S/4D56T/D4B/D4BH - L200 / L300 / Pajero;MITSUBISHI;29.669,17;;
79374;79374;Juego de juntas superior del motor sin retenes;Motor Toyota 2779cc Diesel - Hilux 3.0L 1995/...;TOYOTA;29.323,15;;
79376FLEX;79376;Juego de juntas superior del motor S/ retenes,Junta de tapa de cilindros en Fibra;Motor Renault / Peugeot D4D 1.0L /1.2L 16V - Peugeot 206 (2001/2005) / Clio (2001/2015) / Logan (2007/2015 / Sandero (2007/2015) / Twingo (2001/2002)/ Kangoo (2001/2005) - Álcool / Gasolina / Flex - Hi Flex / Hi Power;RENAULT;46.245,92;;
79377;79377;Juego de juntas superior del motor S/ retenes Junta de tapa de cilindros en Fibra;Motor Ford Zetec Rocam SOHC - 1.0L KA / Fiesta / Ecosport 2000/...;FORD;27.713,75;;
79378;79378;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindro Fibra;Motor Ford Zetec Rocam SOHC - 1.6L KA / Fiesta / Ecosport / Focus 2000/...;FORD;32.236,14;;
79380FLEXR;79380;Juego de juntas superior del motor C/ retenes.Junta de tapa de cilindros MLS;Motor Fiat FIRE 1.0L / 1.3L  8 válvulas - Uno / Palio / Weekend / Siena / Strada / Doblò;FIAT;37.297,69;;
79390FLEXR;79390;Juego de juntas superior del motor con retenes;Motor VW  AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - 1995/...;VW;48.426,65;;
79394FLEX;79394;Juego de juntas superior del motor sin retenes;Motor VW  AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - 1995/...;VW;30.916,44;;
79403FLEX;79403;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor TU3JP - Citroen C3 1.4L 8V.2003/....  Motor Peugeot 206,207 Hatch,207  2004/.....1.4L 8V.- Álcool / Gasolina / Flex ;PEUGEOT;42.600,64;;
79404;79404;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor Ford Zetec 1.8 L 16V.Gasolina -Aplicasión Motor RKC 115 CV 1992 à 1995 - Escort 16V./ RQB 130 CV 1992 à 1995 - Orion 16V. / RQC 130 CV 1992 à 1995 - Fiesta 16V./ RQB 130 CV 1992 à 1995 - Escort 16V./ ZETEC 105 CV 1995......  - Escort / Escort XR3i / Fiesta / Fiesta XR2i ( DOHC ) 16V.  ;FORD;35.897,52;;
79405FLEX;79405;Juego de juntas superior del motor S/ retenes.Tapa de cilindros en Fibra;Motor Fiat E-torq 1.6L 16V. 2010/... - Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;57.141,51;;
79406FLEX;79406;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros MLS;Motor Fiat E-torq 1.8L 16V.2010/...- Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;62.870,95;;
79407FLEX;79407;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor Renault K7M 1.6L 8V. 1996/... - Clio Hatch, Kangoo, Logan, Megane Hatch, Sandero, Symbol - Álcool / Gasolina / Flex;RENAULT;47.235,69;;
79410FLEX;79410;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor Fiat Evo 1.4L 8V. 2010/... - Álcool / Gasolina / Flex  ;FIAT;25.959,50;;
79411FLEX;79411;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor EW10J4 2,0L16V;PEUGEOT;33.579,99;;
79425FLEX;79425;Juego de juntas superior del motor sin retenes;Motor Toyota Toyota Corolla 1ZZFE 1.8L 16V. Gasolina /Flex 2002/...;TOYOTA;34.899,69;;
79430FLEX;79430;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros MLS;Motor GM 2.2/2.4L  8V.MPFI - Blazer / Omega / Suprema / Vectra / Nova S 10 / S 10  2004/... Gasolina / Alcool / Flex ;GM;48.008,20;;
79432FLEX;79432;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en fiFibra ;Peugeot Citroen Motor TU5JP4 (NFU/N6A) MOTORES EC5 ;PEUGEOT;29.194,39;;
79433;79433;Juego de juntas superior del motor con retenes; Iveco Cursor 13 - 12.9L 24V;IVECO;499.748,78;;
79434;79434;Juego de juntas superior del motor C /retenes.Sin junta de tapa de cilindros ;VW ,motor TDI 2,0L 16 V DIESEL AMAROK;VW;116.294,75;;
79435FLEX;79435;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros en Fibra.;GM Cruze 1,8l 16v;GM;62.870,95;;
79438;79438;Juego de juntas superior del motor sin retenes;Motor G9U 2,5L 16V 4CIL;RENAULT;99.484,65;;
79439;79439;Juego de juntas superior del motor con retenes;TOYOTA - Motor 1KD/2KD -FTV - 3.0L / 2.5l 16V;TOYOTA;127.109,88;;
79463;79463;Juego de anillos de camisa;Motor MB OM 449 5 Cilindros;MB;40.411,86;;
79465;79465;Juego de anillos de camisa;Motor MB OM 447 6 Cilindros;MB;75.633,43;;
79470;79470;Juego de juntas monocilíndrico  sin retenes;Motor MWM X10 - Aspirado / Turbo;MWM;14.766,18;;
79473;79473;Juego de anillos de camisa;Motor Scania DN / DS / DSC11 - HW 112 / 113;SCANIA;7.049,14;;
79483;79483;Juego de juntas superior del motor con retenes;Motor GM 1.8L  8 válvulas Fase II Gasolina - Monza / Kadett / Ipanema 1987 a 1991 (Sólo motores carburados);GM;27.086,09;;
79484;79484;Juego de juntas superior del motor con retenes;Motor Fiat SEVEL 1580cc Gasolina - Uno / Premio / Elba / Duna Noviembre 1989...;FIAT;38.094,34;;
79492;79492;Juego de juntas superior del motor con retenes;Motor GM 1.4L  EFI - Corsa 1994 a 1996;GM;28.188,52;;
79502FLEXR;79502;Juego de juntas superior del motor con retenes;Motor GM 2.0L Gasolina - Monza / Kadett / Ipanema / Omega 1992 a 1996 (Sólo para motores EFI / MPFI);GM;32.815,53;;
79507;79507;Juego de juntas superior del motor C/ retenes.Junta cde tsapa de cilindros en Fgibra;Motor GM 1.0L 8 válvulas EFI / MPFI - Corsa / Celta 1994/...;GM;34.022,58;;
79513FLEXR;79513;Juego de juntas superior del motor con retenes;Motor VW AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - Motor Ford AP 1.6L / 1.8L Alcohol / Gasolina - Escort / Del Rey / Belina / Royale / Verona / Pampa / Versailles - Hasta 1995;VW;32.654,59;;
79516;79516;Juego de juntas superior del motor con retenes;"Motor GM 1.6L / 1.8L 8V EFI / MPFI - Corsa / Corsa Evolution / Meriva / Montana (1995/2005) - Motor FIAT 1.8L 8V MPFI - Stilo / Palio / Siena / Palio Weekend / Dobló / Strada / (2003/2005) 
# Para Colectores de Admision em Alumínio #";GM;36.637,83;;
79543FLEX;79543;Juego de juntas superior del motor sin retenes;Motor VW AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - Motor Ford AP 1.6L / 1.8L Alcohol / Gasolina - Escort / Del Rey / Belina / Royale / Verona / Pampa / Versailles - Hasta 1995;VW;23.988,01;;
79544FLEX;79544;Juego de juntas superior del motor sin retenes;Motor Ford CHT - Corcel II / Belina / Del Rey / Escort / Pampa / Verona 1983/... - Motor Ford / VW AE 1.6L - Gol / Voyage / Parati / Saveiro / Escort / Verona - Alcohol / Gasolina / Flex;FORD;17.333,16;;
79554;79554;Juego de juntas superior del motor sin retenes;Motor Fiat SEVEL 1580cc Gasolina - Uno / Premio / Elba / Duna Noviembre 1989...;FIAT;22.571,74;;
79562;79562;Juego de juntas de turbo;Motor MB OM 352 / 364 / 366;MB;4.128,09;;
79566FLEXR;79566;Juego de juntas superior del motor con retenes;Motor GM 2.0L 8 válvulas - Astra / Vectra / Zafira (con excepción de GSI) 1997/...;GM;34.135,22;;
79567;79567;Juego de juntas superior del motor con retenes;Motor GM 2.2L 8 válvulas MPFI - Gasolina - Vectra 2000 a 2004;GM;34.465,15;;
79568FLEXR;79568;Juego de juntas superior del motor con retenes;Motor GM 2.0L 16 válvulas Gasolina - Astra 1999 a 2003 / Vectra (con excepción de GSI) 1997 a 1999;GM;48.450,79;;
79573;79573;Juego de juntas superior del motor con retenes;Motor GM 2.2L 16 válvulas MPFI - Gasolina - Vectra 2000 a 2004;GM;48.668,05;;
46560EF;79602;Junta de la tapa de válvulas;Motor VW AP 1.6L / 1.8L / 2.0L 1989/... - Kombi Gasóleo;VW;3.918,87;;
48816EF1;79607;Juego de juntas del carter;Motor MB OM 352 / 352A / 366 / 366A / 366LA;MB;8.425,18;;
11315EF;79620;Juego de juntas del carter;Motor Ford 1.6L - Corcel / Belina - Motor Ford CHT 1.3L / 1.6L - Corcel / Belina / Del Rey / Pampa / Escort - Motor Ford / VW AE 1.0L / 1.6L - Gol / Voyage / Parati / Saveiro / Escort / Verona;VW / FORD;3.605,03;;
79647;79647;Juego de juntas superior del motor C/retenes.Juinta de tapa de cilindros MLS;Motor VW AT 1.0L - Gol / Parati 1997/... (Exceto motor POWER) - Alcohol / Gasolina / Flex;VW;37.329,87;;
79684;79684;Juego de juntas superior del motor S/ retenes Junta de .tapa de cilindros  en Fibra ;Motor Fiat FIRE 1.0L / 1.3L 16 válvulas - Palio / Siena / Doblò (2000/..);FIAT;34.682,43;;
79685;79685;Juego de juntas superior del motor C/ retenes.Junta de tapa de cilindros en Gfibra;Motor Fiat FIRE 1.0L / 1.3L 16 válvulas - Palio / Siena / Doblò (2000/..);FIAT;47.235,69;;
79690;79690;Juego de juntas superior del motor sin retenes;IVECO DAILY MOTOR F1C 3,0L 16V  D;IVECO;138.102,03;;
79693FLEX;79693;Juego de juntas superior del motor S/ retenes.Junta de tappa de cilindros Fibra;VW  MOTOR EA 211/1,0L 12V 3CIL//UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;36.557,37;;
79694FLEX;79694;Juego de juntas superior del motor S/retenes.Junta de tapa de cilindros MLS;VW  MOTOR EA 211/1,0L 12V 3CIL//UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;35.125,00;;
79695;79695;Juego de juntas superior del motor con retenes;Renault motor Master M9T 2,3L 16V;RENAULT;128.397,39;;
79696FLEX;79696;Juego de juntas superior del motor S/ retenes. Junta de tapa de cilindros MLS;Ford - Motor Sigma - 1.5L/1.6L 16V (2 Tapa Valv.);FORD;60.666,08;;
79702FLEX;79702;Jgo Superior sin Retenes con J tapa cilindros Fibra;Motor Firefly 1.3L 8v 4cils SOHC - Vehiculos: ARGO/CRONOS/PULSE/STRADA/UNO;FIAT;37.836,83;;
79706;79706;Juego de juntas superior del motor sin retenes;Motor Cummins ISB4 - 4 Cilindros 3.9L - Eletrônico;CUMMINS;245.802,63;;
79708;79708;Juego de juntas superior del motor sin retenes;Motor Cummins ISB6 - 6 Cilindros 5.9L - Eletrônico;CUMMINS;342.269,65;;
79709;79709;Juego de juntas superior del motor sin retenes;Motor Cummins ISB6 - 6 Cilindros 5.9L - Eletrônico;CUMMINS;486.366,68;;
79796FLEX;79796;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Ford - Motor Sigma - 1.5L/1.6L 16V (2 Tapa Valv.);FORD;46.688,50;;
79808FLEX;79808;Juego de juntas superior del motor S/ retenes. Junta de tapa de cilindros en Fibra ;Motor E-Torrq 1,8L 16V (2015/…)Fiat TORO/ARGO/CRONOS/DOBLO/GRAND SIENA /PALIO STRADA/PALIO WEEKEND/PUNTO/JEEP-RENEGADE;Fiat/Jeep;50.744,17;;
79810FLEX;79810;Juego de juntas superior del motor sin retenes;Motor Toyota 2ZR-FBE 1,8L 16VL4/3ZR-FE/3ZRFBE-2,0L16V,L4 COROLLA/RAV4/PRIUS;TOYOTA;95.742,80;;
79815FLEX;79815;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor EA 211 1,6L 16V 4CIL./UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;41.457,98;;
79817FLEX;79817;Juego de juntas superior del motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor MR 1,8L16V/MR2,0L16V/M4R2,0L16V/NISSANSENTRA/GRAND LIVIANA/LIVIANA/TIIDA/X-TRAIL/RENALT FLUENCE;Renault/Nissan;41.425,78;;
79819FLEX;79819;Juego de juntas superior del motor S/ retenes. Junta de tapa de cilindros en Fibra ;Motor KA /KA+ TIVCT1,0L  12V 3CIL.;FORD;45.481,45;;
79821FLEX;79821;Juego de juntas superior sin retenes;Motor Toyota 2NR-FE 1,5L 16V/ Etios, Etios Cross, Etios Sedan ,Yaris,Yaris Sedan;TOYOTA ;52.796,14;;
79823;79823;Juego de juntas superior del motor sin retenes tapa MLS;Motor YD25ETI2,5L16V DOHC DIESEL;NISSAN;74.176,93;;
79825FLEX;79825;Juego de juntas superior de motor S/ retenes .Junta de tapa de cilindro MLS;Motor RenaultSCE-H4M-1,6L16V//Vehiculos Sandero, Logan, Duster, Captu;Renault;62.291,56;;
79827;79827;Juego de juntas superior de motor  sin retenes ;Motor Fiat 2,0L16V ECD-Diesel Multijet II (2015/…) Vehiculos :TORO /REEGADE/COMPASS;FIAT/JEEP;50.333,77;;
79834;79834;Juego de Juntas Superior de motor Sin ret - JTC Metalica;Motor DURAMAX 2.8L 16v - Diesel - Vehículos: S10 /TRAILBLAZER;GM;120.278,01;;
79904;79904;Juego de juntas superior del motor con retenes;Motor MB OM 904 / 904A / 904LA - Eletronico;MB;143.678,57;;
79926;79926;Juego de juntas superior del motor con retenes;Motor MB OM 926 / 926A / 926LA;MB;207.466,87;;
79937;79937;Juego de juntas superior del motor con retenes;CUMMINS motor ISC 8,3L 24 V ELECTRÓNICO ;CUMMINS;338.318,59;;
79952;79952;Juego de juntas superior del motor con retenes;Motor Cummins 6B / 6BT / 6BTA 5.9L - 6 Cilindros;CUMMINS;192.523,66;;
79954;79954;Juego de juntas superior del motor con retenes;Motor Cummins 4B / 4BT 3.9L - 4 Cilindros;CUMMINS;117.131,64;;
79958;79958;Juego de juntas superior del motor con retenes;Motor Cummins 6C / 6CT / 6CTA 8.3L - 6 Cilindros;CUMMINS;258.935,27;;
79959FLEX;79959;Juego de juntas superior de motor S/ retenes .Junta de tapa de cilindros en fibra ;Motor SCE-H4M-1,6L-16V Sandero /Logan/Duster/Captur ;Renault;39.446,23;;
79961;79961;Juego de juntas mono cilindro con retenes ;Motor EURO 5 /DC13-SERIE6 2012/... SERIE G/P/R/S;SCANIA;56.224,15;;
79962;79962;Juego de juntas superior  de motor con retenes JTC Mls;Motor SPRINTER 415/515 OM 651 - 2.2L 16v;MB;167.940,18;;
79964;79964;Juego de Juntas del motor Superior sin Ret, con JTC Fibra;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;68.519,91;;
79965;79965;Juego de Juntas del motor Superior sin Ret, con JTC Metalica;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;73.589,50;;
46506FLEXR;80002;Juego de juntas completo del motor con retenes;Motor VW AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - Motor Ford AP 1.6L / 1.8L Alcohol / Gasolina - Escort / Del Rey / Belina / Royale / Verona / Pampa / Versailles - Hasta 1995;VW;54.389,44;;
48606EFPSD;80020;Juego de juntas completo del motor con retenes;Motor MB OM 366 / A / LA  6 Cilindros Aspirado ;MB;99.098,38;;
48806EFPSD1;80022;Juego de juntas completo del motor con retenes;Motor MB OM 352 6 Cilindros Aspirado (Con o sin carcasa);MB;93.417,23;;
46306EFSD1;80024;Juego de juntas completo del motor con retenes;Motor VW 1.6L Diesel - Kombi;VW;58.549,72;;
48206EFPSD;80044;Juego de juntas completo del motor con retenes;Motor MB OM 364 4 Cilindros Aspirado (Con o sin carcasa);MB;69.807,43;;
48806EFS;80050;Juego de juntas completo del motor con retenes;Motor MB OM 352 6 Cilindros Aspirado (Sin carcasa);MB;91.276,73;;
48806EF6;80055;Juego de juntas completo de motor sin retenes ;MB OM 352 ASP.S/JTA.T.;MB;73.348,09;;
48906EFPSD1;80066;Juego de juntas completo del motor con retenes;Motor MB OM 352 / 352A 6 Cilindros Turbo ( Con o sin carcasa );MB;138.238,83;;
48907EFPSD;80077;Juego de juntas completo del motor con retenes;Motor MB OM 355A / 355LA 5 Cilindros;MB;171.617,64;;
70106EFPSD;80085;Juego de juntas completo del motor con retenes;Motor Maxion Perkins 6354.4 - 6 Cilindros - Massey Ferguson 296 / Cosechadora 5650 ;PERKINS;102.606,87;;
70207EFPSD;80088;Juego de juntas completo del motor con retenes;Motor Maxion Perkins 4236 4 Cilindros - Maxion Perkins 4248 4 Cilindros - Case 580H - Massey Ferguson 85X / 270 / 275 / 285 / 290 (cojinete trasero único);PERKINS;75.673,66;;
71106EFPSD;80105;Juego de juntas completo del motor con retenes;Motor MWM D229 - 6 Cilindros;MWM;133.941,75;;
71206EFPSD;80108;Juego de juntas completo del motor con retenes;Motor MWM D229 - 4 Cilindros;MWM;107.249,96;;
80112;80112;Juego de juntas completo del motor con retenes;Motor Scania DN / DS / DSC11 - HW 112 / 113;SCANIA;248.643,20;;
80147;80147;Juego de juntas completo del motor C/Retenes , Junta de tapa de cilindros Fibra;Motor Ford Endura 1.3L Gasolina - Ka / Fiesta / Courier (sin aire acondicionado);FORD;58.903,79;;
80179FLEXR;80179;Juego de juntas completo del motor C/ retenes.Junta de ta de cilindrosen Fibra;Motor VW POWER 1.0L 8v - Gol / Fox / Voyage 2001/... - Alcohol / Gasolina / Flex;VW;50.205,03;;
80184FLEXR;80184;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;65.067,77;;
11307FLEXR;80187;Juego de juntas completo del motor con retenes;Motor Ford CHT - Corcel II / Belina / Del Rey / Escort / Pampa / Verona 1983/... - Motor Ford / VW AE 1.6L - Gol / Voyage / Parati / Saveiro / Escort / Verona - Alcohol / Gasolina / Flex;FORD;34.626,09;;
10806FLEXR;80189;Juego de juntas completo del motor con retenes;Motor GM 1.4L / 1.6L Gasolina - Chevette / Marajó / Chevy 1973 a 1993;GM;52.031,68;;
80198FLEXR;80198;Juego de juntas completo del motor C/ retenes. Junta de tapa de cilindros Fibra;Motor Fiat Fire 1.4L 8V. - Uno, Palio, Palio Weekend, Siena, Idea, Punto, Strada, Doblo - Álcool / Gasolina / Flex (Exceto Motor Evo);FIAT;44.193,93;;
